index,id,release_date,production_budget,worldwide_gross,genre_ids
Antarctica: A Year on Ice,71,2014,1000000,288757,Documentary
Antibirth,49,2016,2500000,0,Horror
Antiviral,63,2013,3100000,123407,Science Fiction
Antiviral,63,2013,3100000,123407,Horror
Apollo 13,75,1995,65000000,335802271,Drama
Apollo 13,75,1995,65000000,335802271,History
Apollo 18,94,2011,5000000,26517819,Horror
Apollo 18,94,2011,5000000,26517819,Thriller
Apollo 18,94,2011,5000000,26517819,Science Fiction
Aquaman,36,2018,160000000,1146894640,Action
Aquaman,36,2018,160000000,1146894640,Adventure
Aquaman,36,2018,160000000,1146894640,Fantasy
Arbitrage,9,2012,12000000,35830713,Drama
Arbitrage,9,2012,12000000,35830713,Thriller
Area 51,81,2015,5000000,7556,Horror
Area 51,81,2015,5000000,7556,Thriller
Area 51,81,2015,5000000,7556,Science Fiction
Argo,27,2012,44500000,227140757,Drama
Argo,27,2012,44500000,227140757,Thriller
Armageddon,8,1998,140000000,554600000,Action
Armageddon,8,1998,140000000,554600000,Thriller
Armageddon,8,1998,140000000,554600000,Science Fiction
Armageddon,8,1998,140000000,554600000,Adventure
Aroused,64,2013,150000,0,Documentary
Arrival,34,2016,47000000,203127894,Drama
Arrival,34,2016,47000000,203127894,Science Fiction
Arrival,34,2016,47000000,203127894,Mystery
Arrival,34,2016,47000000,203127894,Drama
Arrival,34,2016,47000000,203127894,Science Fiction
Arrival,34,2016,47000000,203127894,Mystery
Arrowhead,46,2017,180000,0,Action
Arrowhead,46,2017,180000,0,Adventure
Arrowhead,46,2017,180000,0,Mystery
Arrowhead,46,2017,180000,0,Science Fiction
Arrowhead,46,2017,180000,0,Action
Arrowhead,46,2017,180000,0,Adventure
Arrowhead,46,2017,180000,0,Mystery
Arrowhead,46,2017,180000,0,Science Fiction
Arthur,67,2011,40000000,47787943,Comedy
Arthur,67,2011,40000000,47787943,Romance
Arthur Christmas,14,2011,85000000,149717124,Drama
Arthur Christmas,14,2011,85000000,149717124,Animation
Arthur Christmas,14,2011,85000000,149717124,Family
Arthur Christmas,14,2011,85000000,149717124,Comedy
"As Above, So Below",84,2014,5000000,41824066,Horror
"As Above, So Below",84,2014,5000000,41824066,Thriller
As It Is in Heaven,100,2014,450000,13486,Drama
Ask Me Anything,33,2015,950000,0,Drama
Ask Me Anything,33,2015,950000,0,Mystery
Ask Me Anything,33,2015,950000,0,Thriller
Assassins,63,1995,50000000,83306268,Action
Assassins,63,1995,50000000,83306268,Adventure
Assassins,63,1995,50000000,83306268,Crime
Assassins,63,1995,50000000,83306268,Thriller
Assassins,63,1995,50000000,83306268,Thriller
Assassins,63,1995,50000000,83306268,Action
Assassins,63,1995,50000000,83306268,Drama
Atlas Shrugged: Part II,71,2012,10000000,3336053,Drama
Atlas Shrugged: Part II,71,2012,10000000,3336053,Science Fiction
Atlas Shrugged: Part II,71,2012,10000000,3336053,Mystery
Atomic Blonde,94,2017,30000000,98345423,Action
Atomic Blonde,94,2017,30000000,98345423,Mystery
Atomic Blonde,94,2017,30000000,98345423,Thriller
Attack the Block,7,2011,13000000,6459183,Action
Attack the Block,7,2011,13000000,6459183,Comedy
Attack the Block,7,2011,13000000,6459183,Science Fiction
August,40,2008,3400000,12636,Drama
August: Osage County,15,2013,25000000,50738810,Comedy
August: Osage County,15,2013,25000000,50738810,Drama
August: Osage County,15,2013,25000000,50738810,Comedy
August: Osage County,15,2013,25000000,50738810,Drama
Avatar,1,2009,425000000,2776345279,Action
Avatar,1,2009,425000000,2776345279,Adventure
Avatar,1,2009,425000000,2776345279,Fantasy
Avatar,1,2009,425000000,2776345279,Science Fiction
Avengers: Age of Ultron,4,2015,330600000,1403013963,Action
Avengers: Age of Ultron,4,2015,330600000,1403013963,Adventure
Avengers: Age of Ultron,4,2015,330600000,1403013963,Science Fiction
Avengers: Infinity War,7,2018,300000000,2048134200,Adventure
Avengers: Infinity War,7,2018,300000000,2048134200,Action
Avengers: Infinity War,7,2018,300000000,2048134200,Fantasy
Baahubali 2: The Conclusion,55,2017,30000000,263502914,Action
Baahubali 2: The Conclusion,55,2017,30000000,263502914,Drama
Baby Driver,59,2017,34000000,228104185,Action
Baby Driver,59,2017,34000000,228104185,Crime
Bachelorette,35,2012,3000000,12577401,Comedy
Bachelorette,35,2012,3000000,12577401,Romance
Bad Boys,72,1995,23000000,141247413,Action
Bad Boys,72,1995,23000000,141247413,Comedy
Bad Boys,72,1995,23000000,141247413,Crime
Bad Boys,72,1995,23000000,141247413,Thriller
Bad Boys,72,1995,23000000,141247413,Documentary
Bad Company,34,2002,70000000,69157016,Action
Bad Moms,99,2016,20000000,180998716,Comedy
Bad Teacher,27,2011,19000000,215448997,Comedy
Bad Times at the El Royale,10,2018,32000000,29204379,Thriller
Bad Times at the El Royale,10,2018,32000000,29204379,Crime
Bad Times at the El Royale,10,2018,32000000,29204379,Mystery
Bad Times at the El Royale,10,2018,32000000,29204379,Drama
Bad Words,44,2014,10000000,7843145,Comedy
Baggage Claim,38,2013,8500000,22885836,Comedy
Bait,20,2000,35000000,15471969,Action
Bait,20,2000,35000000,15471969,Horror
Bait,20,2000,35000000,15471969,Thriller
Ballerina,47,2017,30000000,96892829,Animation
Ballerina,47,2017,30000000,96892829,Adventure
Ballerina,47,2017,30000000,96892829,Comedy
Ballerina,47,2017,30000000,96892829,Family
Ballerina,47,2017,30000000,96892829,Animation
Ballerina,47,2017,30000000,96892829,Adventure
Ballerina,47,2017,30000000,96892829,Comedy
Ballerina,47,2017,30000000,96892829,Family
Banshee Chapter,30,2014,950000,78122,Horror
Banshee Chapter,30,2014,950000,78122,Thriller
Barbecue,32,2014,10000000,247565,Comedy
Barbecue,32,2014,10000000,247565,Documentary
Barbershop: The Next Cut,22,2016,20000000,54404202,Comedy
Barney's Version,86,2011,30000000,8845575,Comedy
Barney's Version,86,2011,30000000,8845575,Drama
Barney's Version,86,2011,30000000,8845575,Comedy
Barney's Version,86,2011,30000000,8845575,Drama
Barry Munday,61,2010,3000000,0,Comedy
Barry Munday,61,2010,3000000,0,Drama
Barry Munday,61,2010,3000000,0,Romance
Batman v Superman: Dawn of Justice,18,2016,250000000,867500281,Action
Batman v Superman: Dawn of Justice,18,2016,250000000,867500281,Adventure
Batman v Superman: Dawn of Justice,18,2016,250000000,867500281,Fantasy
"Batman: The Dark Knight Returns, Part 2",29,2013,3500000,0,Action
"Batman: The Dark Knight Returns, Part 2",29,2013,3500000,0,Animation
"Batman: The Dark Knight Returns, Part 2",29,2013,3500000,0,Mystery
Battle of the Sexes,76,2017,25000000,18445379,Comedy
Battle of the Sexes,76,2017,25000000,18445379,Drama
Battle of the Sexes,76,2017,25000000,18445379,History
Battle of the Sexes,76,2017,25000000,18445379,Comedy
Battle of the Sexes,76,2017,25000000,18445379,Drama
Battle of the Sexes,76,2017,25000000,18445379,History
Battle of the Year,51,2013,20000000,16723377,Music
Battle of the Year,51,2013,20000000,16723377,Drama
Battle: Los Angeles,10,2011,70000000,213463976,Action
Battle: Los Angeles,10,2011,70000000,213463976,Science Fiction
Battleship,32,2012,220000000,313477717,Thriller
Battleship,32,2012,220000000,313477717,Action
Battleship,32,2012,220000000,313477717,Adventure
Battleship,32,2012,220000000,313477717,Science Fiction
Baywatch,86,2017,60000000,175863783,Action
