index,id,release_date,production_budget,worldwide_gross,genre_ids
Apollo 13,75,1995,65000000,335802271,"[18, 36]"
Apollo 18,94,2011,5000000,26517819,"[27, 53, 878]"
Appaloosa,93,2008,20000000,27911453,
April Fool's Day,10,1986,5000000,12947763,
Aqua Teen Hunger Force Colon Movie Film for Theaters,76,2007,750000,5520368,
Aquaman,36,2018,160000000,1146894640,"[28, 12, 14]"
Aquamarine,90,2006,12000000,22978953,
Arachnophobia,29,1990,31000000,53208180,
Ararat,86,2002,15500000,1693000,
Arbitrage,9,2012,12000000,35830713,"[18, 53]"
Archaeology of a Woman,38,2014,200000,0,
Arctic Dogs,7,2019,50000000,0,
Are We There Yet?,4,2005,20000000,98114471,
Area 51,81,2015,5000000,7556,"[27, 53, 878]"
Argo,27,2012,44500000,227140757,"[18, 53]"
Arlington Road,56,1999,21500000,24419219,
Armageddon,8,1998,140000000,554600000,"[28, 53, 878, 12]"
Armored,14,2009,20000000,23661038,
Army of Darkness,96,1993,11000000,21502976,
Army of the Dead,81,2019,90000000,0,
Arn - Tempelriddaren,26,2007,16500000,21404122,
Arnolds Park,13,2007,600000,23616,
Around the World in 80 Days,41,2004,110000000,72004159,
Around the World in 80 Days,21,1956,6000000,42000000,
Aroused,64,2013,150000,0,[99]
Arrival,34,2016,47000000,203127894,"[18, 878, 9648]"
Arrival,34,2016,47000000,203127894,"[18, 878, 9648]"
Arrowhead,46,2017,180000,0,"[28, 12, 9648, 878]"
Arrowhead,46,2017,180000,0,"[28, 12, 9648, 878]"
Arthur,67,2011,40000000,47787943,"[35, 10749]"
Arthur Christmas,14,2011,85000000,149717124,"[18, 16, 10751, 35]"
Arthur and the War of Two Worlds,51,2010,45500000,36180824,
Arthur et les Minimoys,6,2007,80000000,113325743,
Artie Lange's Beer League,88,2006,2800000,475000,
Artificial Intelligence: AI,60,2001,90000000,235900000,
"As Above, So Below",84,2014,5000000,41824066,"[27, 53]"
As Good as it Gets,89,1997,50000000,314111923,
As It Is in Heaven,100,2014,450000,13486,[18]
Ask Me Anything,33,2015,950000,0,"[18, 9648, 53]"
Assassins,63,1995,50000000,83306268,"[28, 12, 80, 53]"
Assassins,63,1995,50000000,83306268,"[53, 28, 18]"
Assassinâs Creed,80,2016,125000000,240759682,
Assault On Precinct 13,52,2005,30000000,36040895,
Astro Boy,13,2009,65000000,41636243,
AstÃ©rix aux Jeux Olympiques,12,2008,113500000,132999811,
AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,18,2012,77600000,60680125,
At First Sight,93,1999,40000000,22365133,
Atlantis: The Lost Empire,57,2001,90000000,186049020,
Atlas Shrugged: Part II,71,2012,10000000,3336053,"[18, 878, 9648]"
Atlas Shrugged: Who Is John Galt?,60,2014,5000000,851690,
Atomic Blonde,94,2017,30000000,98345423,"[28, 9648, 53]"
Atonement,97,2007,30000000,129779728,
Attack the Block,7,2011,13000000,6459183,"[28, 35, 878]"
August,40,2008,3400000,12636,[18]
August Rush,30,2007,25000000,65882103,
August: Osage County,15,2013,25000000,50738810,"[35, 18]"
August: Osage County,15,2013,25000000,50738810,"[35, 18]"
Austin Powers in Goldmember,26,2002,63000000,296338663,
Austin Powers: International Man of Mystery,79,1997,18000000,67683989,
Austin Powers: The Spy Who Shagged Me,28,1999,35000000,312383487,
Australia,54,2008,130000000,215080810,
Auto Focus,40,2002,7000000,2703821,
Autumn in New York,57,2000,40000000,90717684,
AutÃ³mata,56,2014,15000000,6775458,
Avatar,1,2009,425000000,2776345279,"[28, 12, 14, 878]"
Avengers: Age of Ultron,4,2015,330600000,1403013963,"[28, 12, 878]"
Avengers: Infinity War,7,2018,300000000,2048134200,"[12, 28, 14]"
Awake,29,2007,8600000,32968648,
Away We Go,77,2009,21000000,10108016,
Ayurveda: Art of Being,54,2002,300000,2066892,
Aztec Warrior,97,2015,5000000,0,
B-Girl,95,2010,700000,1160,
Baahubali 2: The Conclusion,55,2017,30000000,263502914,"[28, 18]"
Baahubali: The Beginning,21,2015,40000000,26736665,
Babe,74,1995,30000000,246100000,
Babe: Pig in the City,3,1998,80000000,69131860,
Babel,56,2006,20000000,132121212,
Baby Boy,43,2001,16000000,28734552,
Baby Driver,59,2017,34000000,228104185,"[28, 80]"
Baby Geniuses,66,1999,13000000,27151490,
Baby Mama,79,2008,30000000,64170447,
Baby's Day Out,88,1994,50000000,16581575,
Babylon A.D.,2,2008,45000000,70216497,
Bacheha-Ye aseman,44,1999,180000,1628579,
Bachelorette,35,2012,3000000,12577401,"[35, 10749]"
Back to the Future,24,1985,19000000,385524784,
Back to the Future Part II,85,1989,40000000,332000000,
Back to the Future Part III,99,1990,40000000,244088654,
Backstabbing For Beginners,41,2018,8000000,343773,
Bad Boys,72,1995,23000000,141247413,"[28, 35, 80, 53]"
Bad Boys,72,1995,23000000,141247413,[99]
Bad Boys II,48,2003,130000000,273271982,
Bad Company,34,2002,70000000,69157016,[28]
Bad Lieutenant: Port of Call New Orleans,11,2009,25000000,12413949,
Bad Moms,99,2016,20000000,180998716,[35]
Bad Santa,75,2003,18000000,77147031,
Bad Teacher,27,2011,19000000,215448997,[35]
Bad Times at the El Royale,10,2018,32000000,29204379,"[53, 80, 9648, 18]"
Bad Words,44,2014,10000000,7843145,[35]
Baggage Claim,38,2013,8500000,22885836,[35]
Baghead,27,2008,200000,140016,
Bait,20,2000,35000000,15471969,"[28, 27, 53]"
Bajrangi Bhaijaan,86,2015,13000000,121778347,
Ballerina,47,2017,30000000,96892829,"[16, 12, 35, 10751]"
Ballerina,47,2017,30000000,96892829,"[16, 12, 35, 10751]"
Ballistic: Ecks vs. Sever,44,2002,70000000,14294842,
Bambi,47,1942,858000,268000000,
Bamboozled,79,2000,10000000,2373937,
Bananas,81,1971,2000000,0,
Bandidas,55,2006,35000000,19282590,
Bandits,59,2001,75000000,71523271,
Bandslam,71,2009,20000000,12967829,
Bang,70,1996,10000,527,
Bang Bang Baby,21,2014,1000000,0,
Bangkok Dangerous,13,2008,45000000,46598133,
Banlieue 13,37,2006,15000000,11599903,
Banshee Chapter,30,2014,950000,78122,"[27, 53]"
Barbarella,22,1968,9000000,0,
Barbecue,32,2014,10000000,247565,[35]
Barbecue,32,2014,10000000,247565,[99]
Barbershop,49,2002,12000000,77063461,
Barbershop 2: Back in Business,73,2004,18000000,65842412,
Barbershop: The Next Cut,22,2016,20000000,54404202,[35]
Barfi,18,2012,4600000,36751984,
Barney's Great Adventure,95,1998,15000000,11156471,
Barney's Version,86,2011,30000000,8845575,"[35, 18]"
Barney's Version,86,2011,30000000,8845575,"[35, 18]"
Barnyard: The Original Party Animals,78,2006,51000000,118583844,
Barry Lyndon,89,1975,11000000,20169934,
Barry Munday,61,2010,3000000,0,"[35, 18, 10749]"
Basic,69,2003,50000000,42598498,
Basic Instinct 2,48,2006,70000000,35417162,
Basquiat,23,1996,3000000,2962051,
Bathing Beauty,59,1944,2361000,3500000,
Bathory,58,2008,15000000,3436763,
Batman,27,1989,35000000,411348924,
Batman & Robin,77,1997,125000000,238317814,
Batman - The Movie,29,1966,1377800,0,
Batman Begins,67,2005,150000000,359142722,
Batman Forever,66,1995,100000000,336529144,
Batman Returns,43,1992,80000000,266824291,
